recipe_name,source,url,servings,calories,image_url,diet_labels,health_labels,cautions,cuisine_type,meal_type,dish_type
Meat and Vegetable Wontons,eatsmarter.com,https://eatsmarter.com/recipes/meat-and-vegetable-wontons,4,2796.282499999735,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/002c809249f2bf78f506c703cbccf53bb88d0afa8a6df7918420ad9abe12e62e/21055250.jpg,"[""Balanced""]","[""Dairy-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Shellfish-Free""]","[""Shellfish"",""Sulfites"",""FODMAP""]","[""chinese""]","[""lunch/dinner""]","[""main course""]"
Gluten Free Deviled Green Eggs and Ham Recipe,simplygluten-free.com,https://simplygluten-free.com/blog/2017/03/gluten-free-deviled-green-eggs-ham-recipe.html,24,1970.707688,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/002d82f4533cef79bb22329b8e3ffb280e6f27f7ac24496a5ea103ef26d2e1c8/21125356.jpg,"[""Low-Carb"",""Low-Sodium""]","[""Paleo"",""Dairy-Free"",""Gluten-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""eastern europe""]","[""lunch/dinner""]","[""main course""]"
Classic Spaghetti,nathanandchristinamakefood.com,http://nathanandchristinamakefood.com/recipes/entrees/classic-spaghetti,4,4737.551223400001,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/002e7cd99284b51fc8713e5050b9a5ab1316a5009ffe7d4417d06ea0298e3aeb/21110999.jpg,"[""High-Fiber"",""Low-Carb""]","[""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""italian""]","[""lunch/dinner""]","[""main course""]"
Grilled Oysters with Fennel Butter,Allrecipes,https://www.allrecipes.com/recipe/13728/grilled-oysters-with-fennel-butter,24,2621.148624999972,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/002eb5eb1ba3f6cbd3657c17dd6353223c976a3a25d0a0801eb9ea80614d0332/21048366.jpg,"[""Low-Carb"",""Low-Sodium""]","[""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free""]",[],"[""mediterranean""]","[""lunch/dinner""]","[""main course""]"
"Smashed broad beans, peas and mint with homemade ricotta recipe",goodfood.com.au,https://www.goodfood.com.au/recipes/smashed-broad-beans-peas-and-mint-with-homemade-ricotta-recipe-20161011-grztqx,4,2502.859752672875,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0031174c70ccc4ccdf5c42e241c23e2ea424c06a11d918c872ff51a78846227e/21092985.jpg,"[""Balanced"",""High-Fiber""]","[""Vegetarian"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""mediterranean""]","[""lunch/dinner""]","[""main course""]"
Chocolate-Banana Protein Smoothie recipes,livesimply.me,http://livesimply.me/2014/06/15/chocolate-banana-protein-smoothie/,4,788.141,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0034248a66bd1c0b4ae27e3ce30b57e4d476d57f9908a9bd813673f1f680e506/21112585.jpeg,"[""Balanced"",""Low-Sodium""]","[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Gluten"",""Wheat"",""Sulfites""]","[""american""]","[""breakfast""]","[""drinks""]"
Mongolian Beef,Allrecipes,https://www.allrecipes.com/recipe/81972/mongolian-beef,6,1692.937049387563,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0034546fc7c51dfc499c0e80c1757d690fb16c61c4f04a66d27095fcc660325c/21068105.jpg,"[""Low-Carb""]","[""Dairy-Free"",""Egg-Free"",""Tree-Nut-Free"",""Fish-Free""]","[""Gluten"",""Wheat"",""Sulfites""]","[""asian""]","[""lunch/dinner""]","[""main course""]"
Whipped Ricotta Toast with Quick Peach-Raspberry Jam,Food Network,https://www.foodnetwork.com/recipes/bobby-flay/whipped-ricotta-toast-with-quick-peach-raspberry-jam-3219828,6,2546.687049,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/003629474566ca163db5797162227d8a37e8d97f0d8e9dfbb1adc2f74a061a67/21126440.jpg,"[""High-Fiber""]","[""Vegetarian"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""british""]","[""breakfast""]","[""desserts""]"
Berry Kale Smoothie recipes,couponingfor4.net,http://www.couponingfor4.net/easy-berry-kale-smoothie-recipe/,4,252.2,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/003c88114bc6f04304c6fed693d56b8c8eeea3bbf82b4cfd58331e65a8d00924/21108191.jpeg,"[""Low-Fat"",""Low-Sodium""]","[""Vegan"",""Vegetarian"",""Paleo"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites"",""FODMAP""]","[""american""]","[""breakfast""]","[""drinks""]"
Chocolate Chip Cookie Cherry Cobbler,Food Network,https://www.foodnetwork.com/recipes/food-network-kitchen/chocolate-chip-cookie-cherry-cobbler-3813668,8,3300.177666666666,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/003dc6a4c2ac868e99193b832ec78b69108625e23a5af056cbb8dd870c4cac57/21096649.jpg,[],"[""Vegetarian"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""snack""]","[""desserts""]"
Meatballs with Spaghetti Sauce Recipe 4,Taste of Home,http://www.tasteofhome.com/Recipes/Meatballs-with-Spaghetti-Sauce,2,1284.282855887406,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/003de0a9eef8424501d95f8816eb23a67e868233592f1f15a4061eef5ba55a5b/21089005.jpg,"[""High-Fiber""]","[""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""italian""]","[""lunch/dinner""]","[""main course""]"
Nutella Cashew Butter,milkandcardamom.com,http://milkandcardamom.com/2015/09/01/nutella-cashew-butter/,8,1707.026833334293,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/003ec6a9682fcb5003d1c5e522a789dc9bf79b8f20185aea34bcfbc016df7360/21123332.jpg,"[""Low-Carb"",""Low-Sodium""]","[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Tree-Nuts"",""Sulfites""]","[""american""]","[""snack""]","[""desserts""]"
Gluten Free Angel Food Cake with Peach Sangria Sauce Recipe,simplygluten-free.com,https://simplygluten-free.com/blog/2012/08/gluten-free-angel-food-cake-with-peach-sangria-sauce-recipe.html,8,2751.853,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/003fc000ac1add63cacd414a2a5158f3c33aef071023a431e98150837c688387/21073324.jpg,"[""Low-Fat""]",[],"[""Sulfites""]","[""mediterranean""]","[""lunch/dinner""]","[""desserts""]"
Cumin-Chile Lamb Kebabs with Garlic Yogurt,Bon Appetit,https://www.bonappetit.com/recipe/cumin-chile-lamb-kebabs-garlic-yogurt,4,1974.569424918447,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/00400df3572f55aa54546063fe5cea3049b5f8e76bb41ece9da325cbf6e7c8fc/21020372.jpg,"[""Low-Carb""]","[""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""middle eastern""]","[""lunch/dinner""]","[""main course""]"
Tangy Charred Coleslaw,Good Housekeeping,https://www.goodhousekeeping.com/food-recipes/a27530080/tangy-charred-coleslaw-recipe,8,1109.553713101933,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/00429ec9c205132e8680e5d77ef325d10294e7a65e954dfca8c4a03d29ab11f2/21125794.jpg,"[""High-Fiber""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""central europe""]","[""lunch/dinner""]","[""salad""]"
Arctic Char with Tangerine-Habanero Glaze and Meyer Lemon Couscous Broth,Food Network,https://www.foodnetwork.com/recipes/bobby-flay/arctic-char-with-tangerine-habanero-glaze-and-meyer-lemon-couscous-broth-recipe-1946063,4,4507.904855471683,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/004304762fcd0a153230b414b6d5eb50f71ba05d8bf30ef58fe64bf79d9d0916/21124615.jpg,"[""Balanced""]","[""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Shellfish-Free""]","[""Sulfites"",""FODMAP""]","[""american""]","[""lunch/dinner""]","[""main course""]"
Fresh Tomatillo Salsa recipes,acedarspoon.com,http://www.acedarspoon.com/fresh-tomatillo-salsa/,4,190.8695583999349,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0043f7a143fe47bdc7e65e12b94b30d6d95b3b6d881e3ecc7a15c8321eb2d4b8/21110139.jpeg,[],"[""Vegan"",""Vegetarian"",""Paleo"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""south american""]","[""lunch/dinner""]","[""condiments and sauces""]"
Corn and Crab Fritters with Sunny Spiked Aioli,Food52,https://food52.com/recipes/12010-corn-and-crab-fritters-with-sunny-spiked-aioli,4,1983.654844,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/00444e34d2882e328b75ae72c6524a42177fb4f50e3bf5260bcc8eb46b1b5eae/20985927.jpg,"[""Low-Carb""]","[""Vegetarian"",""Paleo"",""Dairy-Free"",""Gluten-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""main course""]"
Coffee Crème Caramel,Bon Appetit,https://www.bonappetit.com/recipe/coffee-creme-caramel,8,1762.918333331241,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0045a90a6d08c5c7ed4e1d9a45b204ef64d5889949df2f2196dc8cf8292e4285/21003905.jpg,"[""Low-Sodium""]","[""Vegetarian"",""Gluten-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""french""]","[""lunch/dinner""]","[""desserts""]"
Slow Cooker Chicken Cacciatore,passionatepennypincher.com,https://passionatepennypincher.com/slow-cooker-chicken-cacciatore,10,2883.436596961823,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/004806079b2185644464d29c08c04ce96a0702e6108765407f8308e1c04e3c26/21129349.jpg,"[""High-Fiber""]","[""Dairy-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Eggs"",""Soy"",""Sulfites""]","[""italian""]","[""lunch/dinner""]","[""main course""]"
No -Peanut Paleo Peanut Sauce,tessadomesticdiva.com,http://www.tessadomesticdiva.com/2013/05/paleo-no-peanut-thai-peanut-sauce.html,6,1174.967000013353,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0049ed6132d096cb4b5b51edc1be60feeccca3968942b1203e15aeb2be6a6e85/21135407.jpg,"[""Low-Carb"",""Low-Sodium""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Fish-Free"",""Shellfish-Free""]","[""Tree-Nuts"",""Sulfites""]","[""south east asian""]","[""lunch/dinner""]","[""condiments and sauces""]"
Perfect Berry Shortcakes,Allrecipes,https://www.allrecipes.com/recipe/76969/perfect-berry-shortcakes,6,3797.269751499524,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/004af33dd3fc23977a2efced2cb766ea36320967f8b6e21092a6750b14636416/21056738.jpg,"[""High-Fiber""]","[""Vegetarian"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""desserts""]"
Creamy Garlic Mashed Potatoes recipes,onionringsandthings.com,http://www.onionringsandthings.com/2016/10/creamy-garlic-mashed-potatoes/,4,2350.167,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/004c2d3ad5112ff30a031653ebcdf1a69af8a35c3f77bf02c9d9ad9493b4c3db/21042989.jpeg,[],"[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]",[],"[""american""]","[""lunch/dinner""]","[""starter""]"
Recipes At Penzeys Spices Crispy Cheese Crackers,Penzeys,http://www.penzeys.com/cgi-bin/penzeys/recipes/r-penzeyscheesecrackers.html?id=X5QacIKP,12,2820.8,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/004da7b1eda11dc079f9de944841502a46076e257fed618ce6706f1f8171cdeb/21108032.jpg,"[""Low-Carb""]","[""Vegetarian"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""snack""]","[""biscuits and cookies""]"
Hot Chocolate,Food Network,https://www.foodnetwork.com/recipes/hot-chocolate-recipe-1962772,4,2690.917332,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0066d6f63e9b4ace21cfdb6a3579251a750aa31719be9b80e032f0fdfafb21c8/21126475.jpg,"[""Low-Carb""]","[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""snack""]","[""drinks""]"
Boozy Iced Mocha,tinaschic.com,http://tinaschic.com/2015/01/boozy-iced-mocha/,2,229.3476421,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/00508db48da28599b456cbba427d97f83af141924ecd19bcb1e5ff38046901e7/21078968.jpg,"[""Low-Fat"",""Low-Sodium""]","[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""world""]","[""lunch/dinner""]","[""alcohol cocktail""]"
Marinated Flank Steak,BigOven,https://www.bigoven.com/recipe/marinated-flank-steak/1035992,6,1688.186,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0051775412418bd096b863b5c86e498c703396d6c990c7c985acf392053b8351/21099709.jpg,"[""Low-Sodium""]","[""Dairy-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""main course""]"
Star-Struck Blueberry Cobbler,Delish,http://www.delish.com/cooking/recipe-ideas/recipes/a30374/blueberry-cobbler/,6,937.1550000050801,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/005185b5c43cdf983fff863980046256532c6575aee2cae1bd41832386f88526/21077966.jpg,"[""Low-Fat"",""Low-Sodium""]","[""Vegan"",""Vegetarian"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Gluten"",""Wheat"",""Sulfites""]","[""american""]","[""lunch/dinner""]","[""desserts""]"
Mushroom Kabob Appetizers,food.com,http://www.food.com/recipe/mushroom-kabob-appetizers-103442,6,337.1046607000001,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/00518d3e06d46ffef9e7b99e8229daaca059312c3ad4160855480d66d52877b7/21115577.jpg,"[""Low-Carb"",""Low-Sodium""]","[""Vegetarian"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""starter""]"
Braised Brussels sprouts with bacon,simply-delicious-food.com,http://simply-delicious-food.com/braised-brussels-sprouts-bacon/,8,1946.348066549138,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0055731abf290ed33bdc16cef5caaceee9596df55866685f093f3232ab402765/21117580.jpg,"[""Low-Carb""]","[""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""main course""]"
Fruit salad lollies,homemadebyyou.co.uk,https://www.homemadebyyou.co.uk/recipes/desserts/fruit-salad-lollies,4,209.0006662782302,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0055803f770b1a03471fdff9862dfd76c8656a21e94f2d770df67ca6776f36c0/21096697.jpg,"[""Low-Fat"",""Low-Sodium""]","[""Vegan"",""Vegetarian"",""Paleo"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""world""]","[""lunch/dinner""]","[""alcohol cocktail""]"
"Potato Nests with Peas, Ham and Cream Cheese",Food Network,https://www.foodnetwork.com/recipes/food-network-kitchen/potato-nests-with-peas-ham-and-cream-cheese-3558333,36,2270.533964855311,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0055e57ad00cf90a0d098b808c1c53ee3ea150d7bc555e085a2ac5b783a2d225/21126964.jpg,"[""Low-Sodium""]","[""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""main course""]"
Pad Thai with Shrimp,afarmgirlsdabbles.com,https://www.afarmgirlsdabbles.com/pad-thai-with-shrimp-recipe/,2,1204.170479891228,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/0058e65b4ecf8ff88526e26967fe0d9b051145ea8f52f696aae4a979dc018cf4/21135621.jpg,"[""High-Fiber"",""Low-Fat""]","[""Dairy-Free"",""Tree-Nut-Free""]","[""Shellfish"",""Sulfites"",""FODMAP""]","[""south east asian""]","[""lunch/dinner""]","[""main course""]"
Citrus Fennel and Avocado Salad recipes,mylifewellloved.com,http://mylifewellloved.com/how-to-eat-seasonally/,4,1745.108655,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/005a92928a34f758851044d2549878ecd0ab90a4abf3c7a12d1ac58640e071a5/21052832.jpeg,"[""High-Fiber""]","[""Vegetarian"",""Paleo"",""Dairy-Free"",""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""mediterranean""]","[""lunch/dinner""]","[""salad""]"
Leeks with bacon & mushrooms,BBC Good Food,https://www.bbcgoodfood.com/recipes/leeks-bacon-mushrooms,6,972.4544000000001,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/005b8fb230e9641fff20b6254a5082c2e7485f2b866c9f6e7f3405b5f841a98c/20966332.jpg,"[""Low-Carb""]","[""Gluten-Free"",""Egg-Free"",""Peanut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""american""]","[""lunch/dinner""]","[""main course""]"
Noodles With Mozzarella Cheese recipes,cdkitchen.com,http://www.cdkitchen.com/recipes/recs/57/Noodles-With-Mozzarella-Cheese90602.shtml,4,2470.989023032488,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/005c2dd3a7e6d7d1c6e32a67b16192996bf0953c8f5890b32e77d3ac8f1ee856/21051890.jpeg,"[""Balanced"",""High-Fiber""]","[""Vegetarian"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]","[""Sulfites""]","[""asian""]","[""lunch/dinner""]","[""main course""]"
Homemade Cookie Butter,The Kitchn,https://www.thekitchn.com/cookie-butter-recipe-23245970,6,1453.900129598233,https://datahive-prod-dataset-products.s3.eu-central-1.amazonaws.com/dataset/346/005d57b35790f834028e39c4009e287e37c51719a2f2982479601742b2db7d34/20992099.jpg,[],"[""Vegetarian"",""Peanut-Free"",""Tree-Nut-Free"",""Soy-Free"",""Fish-Free"",""Shellfish-Free""]",[],"[""american""]","[""snack""]","[""condiments and sauces""]"
